,Blinkroot,Daybloom,Deathweed,Fireblossom,Moonglow,Shiverthorn,Waterleaf
Herb_Bag_264,7,22,5,20,36,38,1
Herb_Bag_265,25,11,9,3,29,17,12
Herb_Bag_266,10,17,14,10,25,12,12
Herb_Bag_267,23,24,42,24,31,13,7
Herb_Bag_268,22,14,29,13,16,13,10
Herb_Bag_269,16,17,33,26,24,16,8
Herb_Bag_270,2,17,30,10,30,33,11
Herb_Bag_271,30,15,30,30,27,7,12
Herb_Bag_272,39,27,7,10,21,15,4
Herb_Bag_273,19,20,35,19,26,26,4
Herb_Bag_274,30,12,0,7,43,24,3
Herb_Bag_275,27,9,26,9,27,27,15
Herb_Bag_276,24,12,26,16,34,31,11
Herb_Bag_277,37,18,14,20,29,13,16
Herb_Bag_278,25,10,47,0,21,4,10
Herb_Bag_279,20,19,10,14,18,31,6
Herb_Bag_280,19,20,28,24,25,24,12
Herb_Bag_281,26,25,2,18,24,12,9
Herb_Bag_282,25,15,23,7,23,9,9
Herb_Bag_283,16,27,15,1,32,20,15
Herb_Bag_284,9,0,29,13,38,22,8
Herb_Bag_285,31,17,28,10,27,19,12
Herb_Bag_286,6,27,27,0,27,25,3
Herb_Bag_287,21,17,41,14,30,36,8
Herb_Bag_288,18,13,26,23,32,27,9
Herb_Bag_289,18,23,8,13,19,21,9
Herb_Bag_290,11,18,0,0,29,8,8
Herb_Bag_291,20,19,28,9,22,10,6
Herb_Bag_292,14,16,41,22,29,17,7
Herb_Bag_293,29,32,33,11,26,17,9
Herb_Bag_294,28,20,20,23,26,18,9
Herb_Bag_295,22,25,29,17,12,24,10
Herb_Bag_296,14,19,31,12,32,13,8
Herb_Bag_297,20,14,27,36,16,27,3
Herb_Bag_298,19,10,19,18,24,9,12
Herb_Bag_299,10,9,15,26,28,4,11
Herb_Bag_300,22,15,37,16,23,31,8
Herb_Bag_301,15,7,14,0,26,20,9
Herb_Bag_302,24,13,23,22,27,10,17
Herb_Bag_303,12,28,5,15,21,32,12
Herb_Bag_304,26,22,15,8,37,20,12
Herb_Bag_305,34,12,35,1,30,13,8
Herb_Bag_306,9,10,7,22,26,0,9
Herb_Bag_307,19,22,10,10,22,12,6
Herb_Bag_308,23,13,23,20,26,7,7
Herb_Bag_309,16,18,30,24,20,18,10
Herb_Bag_310,17,19,0,7,30,22,11
Herb_Bag_311,9,27,14,19,29,23,12
Herb_Bag_312,30,3,5,17,26,31,5
Herb_Bag_313,40,10,37,30,25,23,6
Herb_Bag_314,22,23,48,13,28,20,3
Herb_Bag_315,26,13,25,15,30,14,12
Herb_Bag_316,27,17,12,10,26,18,6
Herb_Bag_317,25,16,28,21,18,19,6
Herb_Bag_318,6,21,19,18,34,29,8
Herb_Bag_319,10,18,44,14,28,24,10
Herb_Bag_320,24,17,24,13,31,16,7
Herb_Bag_321,24,16,23,5,24,14,9
Herb_Bag_322,15,23,21,26,29,10,7
Herb_Bag_323,4,19,28,11,33,12,14
Herb_Bag_324,21,16,20,10,38,28,16
Herb_Bag_325,16,15,25,19,21,7,7
Herb_Bag_326,23,20,16,6,28,28,11
Herb_Bag_327,10,12,20,0,23,19,8
Herb_Bag_328,29,15,34,18,26,13,17
Herb_Bag_329,5,18,31,17,16,35,11
Herb_Bag_330,12,18,19,25,28,39,12
Herb_Bag_331,25,22,44,11,22,10,13
Herb_Bag_332,12,12,50,17,38,20,10
Herb_Bag_333,21,16,26,12,14,16,10
Herb_Bag_334,8,18,26,12,20,11,10
Herb_Bag_335,30,12,29,18,25,43,8
Herb_Bag_336,21,14,24,6,21,17,9
Herb_Bag_337,18,24,13,21,22,32,11
Herb_Bag_338,20,9,34,9,43,3,12
Herb_Bag_339,34,25,21,24,12,19,15
Herb_Bag_340,11,17,23,18,26,21,12
Herb_Bag_341,41,15,28,25,18,30,7
Herb_Bag_342,14,19,21,20,21,8,6
Herb_Bag_343,19,19,17,13,26,19,8
Herb_Bag_344,19,26,17,5,30,25,7
Herb_Bag_345,7,14,33,14,23,23,3
Herb_Bag_346,21,23,15,9,21,27,13
Herb_Bag_347,6,25,14,22,26,19,11
Herb_Bag_348,14,23,8,32,37,24,12
Herb_Bag_349,22,11,11,24,13,30,4
Herb_Bag_350,21,19,31,14,34,16,14
Herb_Bag_351,19,14,29,18,37,17,8
Herb_Bag_352,9,27,21,14,26,14,14
Herb_Bag_353,3,21,24,8,17,13,10
Herb_Bag_354,26,19,29,8,23,21,10
Herb_Bag_355,5,23,20,16,35,10,12
Herb_Bag_356,12,15,33,17,16,6,6
Herb_Bag_357,14,10,24,19,32,11,9
Herb_Bag_358,19,25,1,25,21,6,13
Herb_Bag_359,13,10,31,29,34,16,10
Herb_Bag_360,14,17,4,21,35,15,10
Herb_Bag_361,19,17,35,21,21,10,9
Herb_Bag_362,0,20,36,7,31,26,19
Herb_Bag_363,26,10,39,12,26,28,6
Herb_Bag_364,14,23,18,26,23,10,7
Herb_Bag_365,28,15,7,11,23,21,7
Herb_Bag_366,15,15,7,29,26,24,11
Herb_Bag_367,24,10,0,6,22,36,10
Herb_Bag_368,11,17,12,23,25,19,9
Herb_Bag_369,15,17,6,11,28,25,15
Herb_Bag_370,29,15,8,16,16,20,15
Herb_Bag_371,21,24,9,20,21,12,9
Herb_Bag_372,9,26,17,21,21,25,5
Herb_Bag_373,18,16,26,4,25,23,11
Herb_Bag_374,26,12,6,0,19,29,6
Herb_Bag_375,25,15,14,27,18,27,12
Herb_Bag_376,22,21,12,16,33,21,13
Herb_Bag_377,19,15,30,25,23,33,12
Herb_Bag_378,31,18,37,6,38,25,8
Herb_Bag_379,10,25,23,14,32,4,8
Herb_Bag_380,37,20,26,33,28,15,6
Herb_Bag_381,15,29,28,11,29,29,4
Herb_Bag_382,10,26,25,24,18,6,13
Herb_Bag_383,15,20,17,0,17,27,8
Herb_Bag_384,25,13,0,26,20,19,7
Herb_Bag_385,15,10,43,31,26,28,7
